Header,,,,VEC,12,20/02/2024,0291912668,Y,0,,,,Depot: Nelspruit,,,,,,0,31/8/2024,,,Hannelie,1,,DELIVER,N
Detail,58300.50,1,58300.50,67045.58,,15,0,0,4102001,COS ACORNHOEK - Chicken,6,,,,,,,,,,,,,,,,
Detail,5575.20,1,5575.20,6411.48,,15,0,0,4102005,COS ACORNHOEK - Chips,6,,,,,,,,,,,,,,,,
Detail,598.98,1,598.98,688.83,,15,0,0,4102010,COS ACORNHOEK- Cooldrinks,6,,,,,,,,,,,,,,,,
Detail,518.40,1,518.40,596.16,,15,0,0,4102015,COS ACORNHOEK - Soft Serve Ice Cream,6,,,,,,,,,,,,,,,,
Detail,0.00,1,0.00,0.00,,3,0,0,4102020,COS ACORNHOEK - Oil,6,,,,,,,,,,,,,,,,
Detail,5380.50,1,5380.50,6187.57,,15,0,0,4102025,COS ACORNHOEK - Packaging,6,,,,,,,,,,,,,,,,
Detail,2690.89,1,2690.89,3094.52,,15,0,0,4102040,COS ACORNHOEK - Bread ,6,,,,,,,,,,,,,,,,
Detail,2628.00,1,2628.00,3022.20,,15,0,0,4102041,COS ACORNHOEK - Special Breading,6,,,,,,,,,,,,,,,,
Detail,3317.85,1,3317.85,3815.53,,15,0,0,4102042,COS ACORNHOEK - Soulfire breading,6,,,,,,,,,,,,,,,,
Detail,278.96,1,278.96,320.80,,15,0,0,4102045,COS ACORNHOEK - Other,6,,,,,,,,,,,,,,,,
Detail,1890.63,1,1890.63,2174.22,,15,0,0,4102050,COS ACORNHOEK - Spices,6,,,,,,,,,,,,,,,,
Detail,1730.10,1,1730.10,1989.62,,15,0,0,4102051,COS ACORNHOEK - Special Milk,6,,,,,,,,,,,,,,,,
Detail,0.00,1,0.00,0.00,,15,0,0,4104015,Cleaning and Refreshments,6,,,,,,,,,,,,,,,,
Detail,882.00,1,882.00,1014.30,,15,0,0,4104067,Repair and Maintenance - Crates,6,,,,,,,,,,,,,,,,
Detail,0.00,1,0.00,0.00,,15,0,0,4104080,Printing and Stationery,6,,,,,,,,,,,,,,,,
